label,loudness,acousticness,speechiness
0,-7.442,0.0236,0.12
1,-12.597,0.729,0.0438
1,-8.127,0.466,0.438
1,-10.355,0.809,0.125
1,-13.296,0.699,0.0267
0,-4.512,0.000378,0.0417
1,-23.571,0.992,0.0432
0,-8.003,0.0195,0.0681
1,-24.419,0.993,0.0488
1,-10.794,0.183,0.062
0,-3.071,0.455,0.0336
1,-8.185,0.145,0.0414
0,-4.939,0.0682,0.206
0,-3.047,0.0384,0.239
1,-8.596,0.457,0.0432
0,-7.648,0.396,0.319
1,-7.509,0.555,0.0651
1,-21.133,0.968,0.0455
0,-5.972,0.00146,0.173
1,-9.25,0.784,0.0331
1,-6.062,0.529,0.0261
1,-10.723,0.508,0.149
1,-6.54,0.00987,0.0316
0,-7.622,0.0278,0.252
0,-5.132,0.182,0.207
0,-6.446,0.0234,0.0446
1,-7.106,0.573,0.105
1,-7.917,0.566,0.0493
1,-11.334,0.8,0.0358
1,-12.012,0.767,0.0311
1,-6.751,0.541,0.0376
0,-5.157,0.144,0.082
1,-10.067,0.804,0.0417
0,-6.277,0.0662,0.312
1,-8.123,0.163,0.0257
1,-7.925,0.145,0.0294
0,-3.106,2.8e-06,0.0625
1,-12.733,0.514,0.0388
1,-9.75,0.316,0.037
0,-6.5,0.0292,0.223
0,-6.596,0.00249,0.226
0,-9.246,0.464,0.0296
0,-4.768,0.451,0.368
1,-5.875,0.625,0.0297
1,-11.934,0.983,0.0515
1,-14.468,0.375,0.0804
0,-6.02,0.0133,0.159
1,-8.154,0.517,0.029
1,-7.042,0.166,0.0349
0,-8.845,0.00883,0.0409
1,-7.897,0.477,0.0451
1,-6.446,0.275,0.22
1,-6.812,0.709,0.0692
1,-7.988,0.479,0.0565
1,-7.097,0.583,0.0323
1,-4.992,0.314,0.0599
1,-12.301,0.587,0.0498
1,-5.796,0.0548,0.0274
1,-6.28,0.421,0.0787
1,-5.695,0.189,0.0321
1,-10.362,0.849,0.0379
0,-9.147,0.00926,0.165
0,-4.268,0.108,0.266
1,-9.691,0.85,0.0302
1,-17.848,0.975,0.0292
1,-5.633,0.293,0.0834
1,-15.523,0.313,0.037
0,-12.466,0.76,0.275
0,-2.597,0.00129,0.0594
1,-10.202,0.365,0.0584
0,-4.527,0.00016,0.0548
1,-15.274,0.194,0.0549
1,-5.024,0.259,0.0323
0,-9.971,0.926,0.0412
